x_px,y_px
229,608
230,608
231,608
232,608
233,608
234,608
235,608
236,608
237,615
238,615
239,615
240,615
241,615
242,615
243,615
244,615
245,613
246,612
247,610
248,609
249,608
250,607
251,603
252,602
253,602
254,602
255,602
256,602
257,602
258,602
259,602
260,602
261,606
262,616
263,616
264,617
265,618
266,621
267,621
268,621
269,621
270,622
271,623
272,637
273,644
274,644
275,644
276,644
277,644
278,644
279,645
385,648
386,648
387,648
388,648
389,648
390,639
391,637
392,635
393,616
394,615
395,615
396,615
397,615
398,615
399,615
400,615
401,615
402,614
403,604
404,568
405,567
406,564
407,563
408,563
409,563
410,563
411,563
412,563
413,563
414,563
415,563
416,563
417,573
418,532
419,529
420,507
421,506
422,504
423,486
424,486
425,486
426,486
427,486
428,486
429,486
430,493
431,494
432,495
433,497
434,504
435,505
436,506
437,507
438,508
439,508
440,508
441,508
442,508
443,508
444,508
445,508
446,508
447,508
448,508
449,537
450,538
451,539
452,540
453,574
454,575
455,576
456,577
457,578
458,578
459,579
460,579
461,579
462,600
463,600
464,600
465,600
466,600
467,601
468,622
469,623
470,623
471,623
472,623
473,623
474,623
475,613
476,612
477,611
478,609
479,578
480,578
481,577
482,555
483,554
484,554
485,553
486,553
487,552
488,540
489,535
490,534
491,533
492,519
493,517
494,515
495,483
496,482
497,481
498,480
499,439
500,439
501,439
502,439
503,439
504,439
505,439
506,439
507,440
508,441
509,449
510,449
511,449
512,449
513,449
514,449
515,449
516,425
517,425
518,425
519,425
520,425
521,425
522,425
523,422
524,470
525,472
526,473
527,476
528,489
529,490
530,491
531,491
532,491
533,491
534,491
535,491
536,491
537,491
538,491
539,477
540,476
541,475
542,473
543,472
544,472
545,472
546,472
547,472
548,472
549,472
550,472
551,472
552,473
553,476
554,516
555,517
556,517
557,518
558,532
559,569
560,571
561,572
562,590
563,619
564,620
565,621
566,622
567,651
568,651
569,651
570,651
571,651
572,651
573,651
574,652
575,652
576,652
577,652
578,652
579,652
580,652
581,652
582,652
583,652
584,652
585,652
586,652
587,652
588,652
589,652
590,652
591,652
592,652
593,638
594,637
595,637
596,637
597,637
598,637
599,637
600,637
601,637
602,637
603,637
604,636
605,634
606,632
607,612
608,612
609,611
610,584
611,583
612,582
613,582
614,582
615,582
616,582
617,582
618,582
619,582
620,582
621,582
622,582
623,582
624,582
625,582
626,582
627,577
628,576
629,576
630,576
631,576
632,576
633,576
634,576
635,576
636,576
637,576
638,576
639,576
640,576
641,554
642,554
643,554
644,554
645,554
646,554
647,557
648,558
649,558
650,558
651,558
652,558
653,558
654,558
655,558
656,558
657,558
658,558
659,558
660,558
661,558
662,542
663,542
664,542
665,542
666,542
667,542
668,543
669,573
670,575
671,576
672,577
673,589
674,620
675,620
676,620
677,620
678,620
679,620
680,620
681,620
682,620
683,620
684,620
685,624
686,638
687,640
688,641
689,642
690,643
691,644
692,646
693,643
694,640
695,637
696,634
697,631
698,628
699,625
700,622
701,619
702,616
703,616
704,616
705,616
706,616
707,613
708,613
709,612
710,611
711,577
712,576
713,550
714,550
715,550
716,550
717,550
718,550
719,550
720,550
721,550
722,550
723,550
724,550
725,550
726,550
727,564
728,587
729,588
730,588
731,589
732,589
733,589
734,589
735,589
736,589
737,589
738,589
739,623
740,636
741,637
742,637
743,639
744,645
745,645
746,646
747,646
748,647
749,647
750,647
751,648
752,648
753,648
754,649
755,649
756,650
757,650
758,650
759,651
760,651
761,652
762,652
763,652
764,653
765,653
766,654
767,654
768,654
769,655
770,655
771,655
772,656
773,656
774,657
775,657
776,657
777,657
778,657
779,657
780,657
781,657
782,657
783,657
784,657
785,657
786,657
787,657
788,657
789,657
790,657
791,657
792,657
793,657
794,657
795,657
796,657
797,657
798,657
799,657
800,657
801,647
802,647
803,647
804,647
805,647
806,647
807,646
808,645
809,644
810,644
