x_px,y_px
215,801
216,801
217,801
218,801
219,801
220,801
221,801
222,802
223,804
224,804
225,805
226,811
227,812
228,813
229,815
230,816
231,818
232,821
233,826
234,827
235,828
236,830
237,831
238,832
239,833
240,838
241,840
242,842
243,844
244,845
245,846
246,846
247,846
248,846
249,846
250,847
251,850
252,853
253,854
254,854
255,854
256,855
257,857
258,859
259,859
260,860
261,860
262,860
263,860
264,861
265,866
266,867
267,867
268,867
269,867
270,867
271,867
272,867
273,867
274,867
275,867
276,867
277,867
278,867
279,867
280,867
281,867
282,867
283,865
284,864
285,863
286,863
287,863
288,863
289,863
290,863
291,863
292,863
293,863
294,863
295,862
296,861
297,859
298,858
299,858
300,858
301,858
302,857
303,856
304,855
305,850
306,849
307,836
308,834
309,833
310,832
311,820
312,819
313,819
314,817
315,815
316,814
317,813
318,800
319,799
320,798
321,786
322,785
323,785
324,784
325,782
326,777
327,776
328,763
329,762
330,761
331,760
332,748
333,747
334,746
335,745
336,743
337,742
338,742
339,734
340,733
341,732
342,730
343,727
344,727
345,726
346,725
347,714
348,712
349,709
350,699
351,699
352,699
353,699
354,698
355,698
356,697
357,695
358,685
359,684
360,682
361,676
362,675
363,675
364,675
365,675
366,675
367,674
368,672
369,671
370,670
371,669
372,662
373,661
374,659
375,656
376,656
377,655
378,655
379,655
380,655
381,654
382,647
383,647
384,646
385,646
386,646
387,646
388,645
389,644
390,634
391,626
392,624
393,613
394,612
395,611
396,576
397,576
398,575
399,573
400,547
401,547
402,547
403,547
404,547
405,547
406,547
407,547
408,547
409,547
410,551
411,553
412,554
413,562
414,565
415,567
416,568
417,570
418,571
419,572
420,573
421,577
422,579
423,580
424,580
425,580
426,580
427,580
428,580
429,580
430,580
431,580
432,580
433,580
434,580
435,580
436,580
437,580
438,580
439,580
440,580
441,580
442,580
443,580
444,580
445,592
446,598
447,599
448,600
449,611
450,613
451,613
452,614
453,629
454,640
455,642
456,652
457,654
458,655
459,657
460,665
461,696
462,697
463,698
464,699
465,701
466,725
467,726
468,728
469,747
470,749
471,750
472,752
473,774
474,776
475,777
476,778
477,786
478,791
479,792
480,794
481,796
482,797
483,798
484,803
485,805
486,805
487,806
488,807
489,809
490,810
491,812
492,823
493,824
494,825
495,827
496,837
497,838
498,839
499,839
500,839
501,839
502,840
503,842
504,846
505,847
506,849
507,851
508,852
509,852
510,853
511,853
512,853
513,853
514,853
515,853
516,853
517,853
518,853
519,852
520,852
521,852
522,852
523,852
524,852
525,852
526,865
527,867
528,867
529,869
530,913
