sample_idx,time_sec,fhr_bpm,ua_kpa,ua_mmhg
0,0.000000,94.494845,NaN,NaN
1,1.000000,94.494845,NaN,NaN
2,2.000000,94.494845,NaN,NaN
3,3.000000,94.061856,NaN,NaN
4,4.000000,93.354639,NaN,NaN
5,5.000000,92.744845,NaN,NaN
6,6.000000,92.192784,1.109434,8.321443
7,7.000000,90.967784,1.109434,8.321443
8,8.000000,90.511340,1.109434,8.321443
9,9.000000,90.062113,0.950943,7.132665
10,10.000000,89.118557,0.950943,7.132665
11,11.000000,88.422165,0.950943,7.132665
12,12.000000,88.007216,0.993962,7.455333
13,13.000000,88.000000,1.072358,8.043354
14,14.000000,87.888144,1.126981,8.453057
15,15.000000,86.962629,1.245283,9.340395
16,16.000000,86.845361,1.245283,9.340395
17,17.000000,86.408763,1.245283,9.340395
18,18.000000,86.062371,1.245283,9.340395
19,19.000000,85.979381,0.965094,7.238806
20,20.000000,85.654639,0.900000,6.750558
21,21.000000,84.969072,0.815094,6.113713
22,22.000000,84.969072,0.813396,6.100976
23,23.000000,84.969072,0.615283,4.615004
24,24.000000,84.969072,0.294340,2.207730
25,25.000000,84.969072,0.294340,2.207730
26,26.000000,84.969072,0.277925,2.084606
27,27.000000,84.969072,NaN,NaN
28,28.000000,85.337113,NaN,NaN
29,29.000000,85.546392,NaN,NaN
30,30.000000,85.546392,NaN,NaN
31,31.000000,85.546392,NaN,NaN
32,32.000000,85.546392,NaN,NaN
33,33.000000,85.779124,NaN,NaN
34,34.000000,86.268041,NaN,NaN
35,35.000000,86.268041,NaN,NaN
36,36.000000,86.535052,NaN,NaN
37,37.000000,87.460567,NaN,NaN
38,38.000000,89.638144,NaN,NaN
39,39.000000,90.172165,NaN,NaN
40,40.000000,91.896907,NaN,NaN
41,41.000000,92.448969,NaN,NaN
42,42.000000,93.372680,NaN,NaN
43,43.000000,94.889948,NaN,NaN
44,44.000000,96.804124,NaN,NaN
45,45.000000,97.110825,NaN,NaN
46,46.000000,98.099485,NaN,NaN
47,47.000000,100.179639,NaN,NaN
48,48.000000,101.797938,NaN,NaN
49,49.000000,102.463660,NaN,NaN
50,50.000000,102.956186,NaN,NaN
51,51.000000,104.170361,NaN,NaN
52,52.000000,104.583505,NaN,NaN
53,53.000000,105.175258,NaN,NaN
54,54.000000,105.900515,NaN,NaN
55,55.000000,107.637887,NaN,NaN
56,56.000000,109.216495,NaN,NaN
57,57.000000,109.290464,NaN,NaN
58,58.000000,109.494330,NaN,NaN
59,59.000000,111.285825,NaN,NaN
60,60.000000,112.319588,NaN,NaN
61,61.000000,112.680412,NaN,NaN
62,62.000000,112.680412,NaN,NaN
63,63.000000,113.109794,NaN,NaN
64,64.000000,113.459794,NaN,NaN
65,65.000000,114.673969,NaN,NaN
66,66.000000,115.422680,NaN,NaN
67,67.000000,115.567010,NaN,NaN
68,68.000000,115.574227,NaN,NaN
69,69.000000,116.721649,NaN,NaN
70,70.000000,116.865979,NaN,NaN
71,71.000000,116.907474,0.203774,1.528428
72,72.000000,118.164948,0.346415,2.598328
73,73.000000,120.219845,0.546509,4.099160
74,74.000000,121.848969,0.950943,7.132665
75,75.000000,126.969072,0.950943,7.132665
76,76.000000,128.715464,0.950943,7.132665
77,77.000000,131.154639,0.968208,7.262157
78,78.000000,131.154639,2.019057,15.144176
79,79.000000,131.154639,2.118962,15.893531
80,80.000000,131.154639,2.128302,15.963584
81,81.000000,130.229124,2.128302,15.963584
82,82.000000,128.632474,2.128302,15.963584
83,83.000000,128.055155,2.074528,15.560248
84,84.000000,127.596907,2.874340,21.559329
85,85.000000,126.806701,3.421698,25.664857
86,86.000000,126.391753,3.871698,29.040136
87,87.000000,126.391753,3.871698,29.040136
88,88.000000,126.391753,3.871698,29.040136
89,89.000000,126.391753,3.697075,27.730358
90,90.000000,126.391753,3.602830,27.023460
91,91.000000,126.391753,3.429340,25.722173
92,92.000000,126.391753,3.374717,25.312470
93,93.000000,126.391753,3.373585,25.303978
94,94.000000,126.391753,3.373585,25.303978
95,95.000000,124.497423,3.373585,25.303978
96,96.000000,123.562887,3.373585,25.303978
97,97.000000,121.628866,2.694057,20.207095
98,98.000000,120.564433,2.321887,17.415591
99,99.000000,117.490206,1.837642,13.783451
100,100.000000,115.675258,1.788679,13.416203
101,101.000000,114.513402,1.766038,13.246378
102,102.000000,109.494330,1.290566,9.680045
103,103.000000,109.075773,1.290566,9.680045
104,104.000000,105.334021,1.270189,9.527203
105,105.000000,102.198454,0.769811,5.774062
106,106.000000,101.646392,0.769811,5.774062
107,107.000000,98.083247,0.800943,6.007572
108,108.000000,97.179381,1.031321,7.735545
109,109.000000,95.799227,1.762358,13.218781
110,110.000000,95.162371,1.998113,14.987088
111,111.000000,94.359536,2.332075,17.492012
112,112.000000,93.888660,2.359245,17.695802
113,113.000000,93.452062,2.718396,20.389657
114,114.000000,92.867526,2.815472,21.117783
115,115.000000,91.112113,3.189623,23.924147
116,116.000000,89.515464,3.958868,29.693964
117,117.000000,89.010309,4.251226,31.886834
118,118.000000,89.010309,4.935849,37.021928
119,119.000000,88.526804,4.935849,37.021928
120,120.000000,87.711340,4.935849,37.021928
121,121.000000,87.146649,4.892547,36.697137
122,122.000000,86.989691,4.709434,35.323675
123,123.000000,86.989691,4.709434,35.323675
124,124.000000,86.989691,4.790943,35.935046
125,125.000000,86.989691,5.252830,39.399483
126,126.000000,87.134021,5.252830,39.399483
127,127.000000,87.134021,5.279151,39.596905
128,128.000000,87.134021,4.197736,31.485621
129,129.000000,84.969072,4.035566,30.269247
130,130.000000,80.711340,3.766981,28.254694
131,131.000000,67.633247,3.758491,28.191010
132,132.000000,67.151546,3.758491,28.191010
133,133.000000,63.094072,3.758491,28.191010
134,134.000000,94.494845,4.081698,30.615267
135,135.000000,94.494845,4.151887,31.141725
136,136.000000,93.773196,4.188679,31.417691
137,137.000000,93.773196,4.188679,31.417691
138,138.000000,93.773196,4.188679,31.417691
139,139.000000,93.773196,4.181038,31.360375
140,140.000000,93.773196,3.418868,25.643629
141,141.000000,93.773196,3.166132,23.747954
142,142.000000,97.670103,2.348491,17.615135
143,143.000000,97.670103,1.924811,14.437278
144,144.000000,98.045361,0.851321,6.385433
145,145.000000,101.224227,0.796698,5.975730
146,146.000000,103.187113,0.135849,1.018952
147,147.000000,105.844588,0.135849,1.018952
148,148.000000,106.329897,0.134717,1.010461
149,149.000000,110.484794,0.113208,0.849127
150,150.000000,112.229381,0.113208,0.849127
151,151.000000,113.299227,0.113208,0.849127
152,152.000000,113.748454,0.113208,0.849127
153,153.000000,113.979381,0.113208,0.849127
154,154.000000,114.055155,0.113208,0.849127
155,155.000000,117.109536,0.113208,0.849127
156,156.000000,117.789691,0.224151,1.681271
157,157.000000,118.529381,0.452830,3.396507
158,158.000000,119.489175,0.452830,3.396507
159,159.000000,121.569330,0.452830,3.396507
160,160.000000,122.061856,0.452830,3.396507
161,161.000000,123.912887,0.494151,3.706438
162,162.000000,124.226804,0.939623,7.047752
163,163.000000,124.261082,1.186698,8.900972
164,164.000000,124.464948,1.690189,12.677463
165,165.000000,126.057990,1.698113,12.736902
166,166.000000,127.546392,1.698113,12.736902
167,167.000000,127.546392,1.698113,12.736902
168,168.000000,127.546392,1.698113,12.736902
169,169.000000,127.113402,1.698113,12.736902
170,170.000000,127.095361,1.712264,12.843043
171,171.000000,126.969072,1.833962,13.755854
172,172.000000,126.969072,1.833962,13.755854
173,173.000000,126.969072,1.833962,13.755854
174,174.000000,126.969072,1.833962,13.755854
175,175.000000,126.969072,1.833962,13.755854
176,176.000000,126.969072,2.132830,15.997549
177,177.000000,126.969072,2.332075,17.492012
178,178.000000,126.969072,2.332075,17.492012
179,179.000000,126.969072,2.245189,16.840307
180,180.000000,126.969072,2.241509,16.812710
181,181.000000,126.969072,2.241509,16.812710
182,182.000000,126.958247,2.241509,16.812710
183,183.000000,125.240722,2.241509,16.812710
184,184.000000,125.092784,2.241509,16.812710
185,185.000000,125.092784,2.603774,19.529916
186,186.000000,124.739175,2.603774,19.529916
187,187.000000,124.107732,2.600660,19.506565
188,188.000000,123.137113,1.876981,14.078522
189,189.000000,123.072165,1.812170,13.592397
190,190.000000,123.018041,0.837736,6.283538
191,191.000000,122.411856,0.837736,6.283538
192,192.000000,121.426804,0.837736,6.283538
193,193.000000,120.874742,0.837736,6.283538
194,194.000000,119.175258,0.835472,6.266556
195,195.000000,119.175258,0.410377,3.078085
196,196.000000,119.175258,0.343019,2.572854
197,197.000000,119.175258,0.282453,2.118571
198,198.000000,119.175258,0.362830,2.721451
199,199.000000,119.175258,0.526698,3.950562
200,200.000000,119.103093,0.690566,5.179673
201,201.000000,118.109021,0.854434,6.408784
202,202.000000,117.154639,0.928302,6.962840
203,203.000000,117.154639,0.928302,6.962840
204,204.000000,116.822680,0.999623,7.497790
205,205.000000,116.270619,1.474528,11.059876
206,206.000000,114.571134,2.407925,18.060927
207,207.000000,114.268041,2.422642,18.171313
208,208.000000,114.268041,2.422642,18.171313
209,209.000000,114.268041,2.422642,18.171313
210,210.000000,114.268041,2.422642,18.171313
211,211.000000,114.268041,2.422642,18.171313
212,212.000000,114.268041,1.871321,14.036066
213,213.000000,114.268041,1.562264,11.717950
214,214.000000,115.422680,1.539623,11.548124
215,215.000000,115.422680,1.539623,11.548124
216,216.000000,115.422680,1.539623,11.548124
217,217.000000,115.422680,0.618962,4.642601
218,218.000000,115.422680,0.452830,3.396507
219,219.000000,115.422680,0.271698,2.037904
220,220.000000,115.206186,0.249057,1.868079
221,221.000000,116.768557,0.226415,1.698254
222,222.000000,117.876289,0.203774,1.528428
223,223.000000,118.018814,0.181415,1.360726
224,224.000000,119.204124,0.158491,1.188778
225,225.000000,120.880155,0.140094,1.050794
226,226.000000,122.783505,0.113208,0.849127
227,227.000000,122.783505,0.098774,0.740863
228,228.000000,123.259794,0.067925,0.509476
229,229.000000,124.082474,0.057453,0.430932
230,230.000000,124.226804,0.045283,0.339651
231,231.000000,124.701289,0.016132,0.121001
232,232.000000,125.049485,0.000000,0.000000
233,233.000000,126.263660,0.000000,0.000000
234,234.000000,126.831959,0.000000,0.000000
235,235.000000,127.925258,0.000000,0.000000
236,236.000000,128.123711,0.000000,0.000000
237,237.000000,128.123711,0.000000,0.000000
238,238.000000,128.123711,0.000000,0.000000
239,239.000000,128.123711,0.000000,0.000000
240,240.000000,130.288660,0.000000,0.000000
241,241.000000,130.288660,0.000000,0.000000
242,242.000000,130.288660,0.000000,0.000000
243,243.000000,130.288660,0.226415,1.698254
