x_px,y_px
225,602
226,602
227,602
228,602
229,602
230,602
231,602
232,602
233,611
234,611
235,611
236,611
237,611
238,611
239,611
240,610
241,608
242,607
243,606
244,604
245,603
246,602
247,599
248,598
249,597
250,597
251,597
252,597
253,597
254,597
255,597
256,597
257,601
258,611
259,612
260,612
261,613
262,616
263,616
264,617
265,617
266,617
267,618
268,633
269,640
270,640
271,640
272,640
273,640
274,640
275,641
276,644
277,647
278,651
279,654
280,657
281,657
282,657
283,657
284,657
285,657
286,657
287,657
288,657
289,657
380,657
381,657
382,657
383,657
384,657
385,657
386,635
387,633
388,631
389,612
390,611
391,611
392,611
393,611
394,611
395,611
396,611
397,610
398,610
399,601
400,564
401,563
402,561
403,556
404,556
405,556
406,556
407,556
408,556
409,556
410,556
411,556
412,556
413,556
414,528
415,527
416,503
417,502
418,501
419,483
420,482
421,482
422,482
423,482
424,482
425,482
426,481
427,490
428,491
429,492
430,500
431,501
432,502
433,502
434,503
435,503
436,503
437,503
438,503
439,503
440,503
441,503
442,503
443,503
444,503
445,531
446,534
447,535
448,535
449,537
450,571
451,572
452,573
453,574
454,574
455,575
456,575
457,575
458,596
459,596
460,596
461,596
462,596
463,597
464,610
465,619
466,619
467,619
468,619
469,619
470,619
471,610
472,608
473,607
474,606
475,575
476,574
477,573
478,571
479,551
480,550
481,550
482,549
483,549
484,547
485,532
486,531
487,530
488,527
489,515
490,513
491,480
492,479
493,478
494,477
495,436
496,436
497,436
498,436
499,436
500,436
501,436
502,436
503,436
504,436
505,439
506,445
507,445
508,445
509,445
510,445
511,445
512,423
513,421
514,421
515,421
516,421
517,421
518,421
519,421
520,418
521,467
522,469
523,470
524,474
525,486
526,487
527,487
528,487
529,487
530,487
531,487
532,487
533,487
534,487
535,487
536,473
537,472
538,471
539,469
540,469
541,469
542,469
543,469
544,469
545,469
546,469
547,469
548,469
549,470
550,512
551,513
552,514
553,514
554,516
555,532
556,567
557,568
558,571
559,616
560,617
561,618
562,619
563,649
564,649
565,649
566,649
567,650
568,650
569,650
570,650
571,650
572,650
573,651
574,651
575,651
576,651
577,651
578,651
579,651
580,651
581,651
582,651
583,650
584,650
585,650
586,650
587,649
588,649
589,634
590,634
591,634
592,634
593,634
594,634
595,634
596,634
597,634
598,634
599,634
600,632
601,631
602,629
603,609
604,609
605,608
606,605
607,580
608,579
609,579
610,579
611,579
612,579
613,579
614,579
615,579
616,579
617,579
618,579
619,579
620,579
621,579
622,579
623,574
624,573
625,573
626,573
627,573
628,573
629,573
630,573
631,573
632,573
633,573
634,573
635,573
636,573
637,551
638,551
639,551
640,551
641,551
642,551
643,551
644,555
