x_px,y_px
225,602
226,602
227,602
228,602
229,602
230,602
231,602
232,602
235,607
236,607
237,607
238,607
239,607
240,607
241,607
242,607
243,606
244,604
245,603
246,602
247,599
248,598
249,597
250,597
251,597
252,597
253,597
254,597
255,597
256,597
257,601
385,607
386,607
387,607
388,607
389,607
390,607
391,607
392,607
393,607
394,607
395,607
396,607
397,607
398,607
399,601
400,564
401,563
402,561
403,556
404,556
405,556
406,556
407,556
408,556
409,556
410,556
411,556
412,556
413,556
414,528
415,527
416,503
417,502
418,501
419,483
420,482
421,482
422,482
423,482
424,482
425,482
426,481
427,490
428,491
429,492
430,500
431,501
432,502
433,502
434,503
435,503
436,503
437,503
438,503
439,503
440,503
441,503
442,503
443,503
444,503
445,531
446,534
447,535
448,535
449,537
450,571
451,572
452,573
453,574
454,574
455,575
456,575
457,575
458,596
459,596
460,596
461,596
462,596
463,597
467,607
468,607
469,607
470,607
471,607
472,607
473,607
474,606
475,575
476,574
477,573
478,571
479,551
480,550
481,550
482,549
483,549
484,547
485,532
486,531
487,530
488,527
489,515
490,513
491,480
492,479
493,478
494,477
495,436
496,436
497,436
498,436
499,436
500,436
501,436
502,436
503,436
504,436
505,439
506,445
507,445
508,445
509,445
510,445
511,445
512,423
513,421
514,421
515,421
516,421
517,421
518,421
519,421
520,418
521,467
522,469
523,470
524,474
525,486
526,487
527,487
528,487
529,487
530,487
531,487
532,487
533,487
534,487
535,487
536,473
537,472
538,471
539,469
540,469
541,469
542,469
543,469
544,469
545,469
546,469
547,469
548,469
549,470
550,512
551,513
552,514
553,514
554,516
555,532
556,567
557,568
558,571
599,606
600,606
601,606
602,606
603,606
604,606
605,606
606,605
607,580
608,579
609,579
610,579
611,579
612,579
613,579
614,579
615,579
616,579
617,579
618,579
619,579
620,579
621,579
622,579
623,574
624,573
625,573
626,573
627,573
628,573
629,573
630,573
631,573
632,573
633,573
634,573
635,573
636,573
637,551
638,551
639,551
640,551
641,551
642,551
643,551
644,555
645,556
646,556
647,556
648,556
649,556
650,556
651,556
652,556
653,556
654,556
655,556
656,556
657,556
658,539
659,539
660,539
661,539
662,539
663,539
664,539
665,570
666,572
667,573
668,574
669,585
672,604
673,604
674,604
675,604
676,604
677,604
678,604
679,604
680,604
700,607
701,607
702,607
703,607
704,607
705,607
706,607
707,575
708,573
709,548
710,547
711,547
712,547
713,547
714,547
715,547
716,547
717,547
718,547
719,547
720,547
721,547
722,547
723,547
724,585
725,585
726,586
727,586
728,586
729,586
730,586
731,586
732,586
733,586
734,586
834,577
835,577
836,577
837,577
838,577
839,570
840,569
841,569
842,568
843,541
844,540
845,539
846,511
