x_px,y_px
216,795
217,795
218,795
219,795
220,795
221,795
222,797
223,798
224,799
225,800
226,801
227,807
228,808
229,809
230,811
231,813
232,814
233,821
234,822
235,823
236,825
237,826
238,827
239,828
240,830
241,835
242,837
243,838
244,840
245,841
246,841
247,841
248,841
249,842
250,842
251,844
252,848
253,849
254,849
255,849
256,850
257,852
258,854
259,855
260,855
261,855
262,855
263,856
264,856
265,861
266,863
267,863
268,863
269,863
270,863
271,863
272,863
273,863
274,863
275,863
276,863
277,863
278,863
279,863
280,863
281,863
282,863
283,861
284,859
285,859
286,859
287,859
288,859
289,858
290,858
291,858
292,858
293,858
294,858
295,858
296,857
297,855
298,854
299,853
300,853
301,853
302,853
303,852
304,851
305,846
306,845
307,842
308,830
309,829
310,828
311,816
312,815
313,814
314,814
315,811
316,810
317,809
318,808
319,795
320,794
321,793
322,781
323,780
324,780
325,779
326,774
327,772
328,771
329,758
330,757
331,756
332,754
333,743
334,742
335,742
336,740
337,739
338,738
339,737
340,729
341,728
342,727
343,724
344,723
345,722
346,722
347,720
348,709
349,708
350,704
351,695
352,694
353,694
354,694
355,694
356,694
357,693
358,690
359,680
360,679
361,677
362,672
363,671
364,671
365,671
366,671
367,671
368,670
369,668
370,666
371,666
372,665
373,658
374,657
375,655
376,652
377,651
378,651
379,651
380,651
381,651
382,650
383,643
384,642
385,642
386,642
387,642
388,642
389,641
390,640
391,631
392,622
393,620
394,609
395,608
396,607
397,596
398,572
399,571
400,570
401,560
402,543
403,543
404,543
405,543
406,543
407,543
408,543
409,543
410,543
411,544
412,548
413,549
414,554
415,560
416,562
417,563
418,565
419,567
420,567
421,568
422,571
423,575
424,576
425,576
426,576
427,576
428,576
429,576
430,576
431,576
432,576
433,576
434,576
435,576
436,576
437,576
438,576
439,576
440,576
441,576
442,576
443,576
444,576
445,576
446,577
447,593
448,595
449,596
450,607
451,609
452,609
453,610
454,612
455,636
456,637
457,643
458,651
459,651
460,653
461,661
462,693
463,694
464,694
465,695
466,697
467,721
468,723
469,729
470,744
471,745
472,746
473,761
474,772
475,773
476,774
477,775
478,786
479,788
480,789
481,791
482,793
483,794
484,795
485,801
486,802
487,802
488,803
489,805
490,806
491,807
492,818
493,821
494,821
495,823
496,829
497,835
498,835
499,835
500,836
501,836
502,836
503,838
504,842
505,843
506,845
507,847
508,848
509,849
510,849
511,849
512,849
513,849
514,849
515,849
516,849
517,849
518,849
519,848
520,848
521,848
522,848
523,848
524,848
525,848
526,862
527,863
528,864
529,865
530,910
531,981
532,985
533,987
534,987
535,989
536,1017
537,789
538,789
539,789
540,789
541,789
542,789
543,789
544,801
545,802
546,802
547,802
548,802
549,802
550,802
551,802
552,802
553,802
554,802
555,802
556,802
557,802
558,776
559,776
560,776
561,776
562,776
563,775
564,774
565,769
566,752
567,740
568,739
569,738
570,736
571,719
572,719
573,718
574,716
575,697
576,695
577,677
578,676
579,675
580,668
581,667
582,667
