sample_idx,time_sec,fhr_bpm,ua_kpa,ua_mmhg
0,0.000000,95.360825,NaN,NaN
1,1.000000,95.360825,NaN,NaN
2,2.000000,95.360825,NaN,NaN
3,3.000000,94.893557,NaN,NaN
4,4.000000,94.545361,1.245283,9.340395
5,5.000000,93.475515,1.245283,9.340395
6,6.000000,92.914433,1.245283,9.340395
7,7.000000,91.721907,1.064434,7.983915
8,8.000000,91.232990,1.041509,7.811966
9,9.000000,90.783763,1.041509,7.811966
10,10.000000,90.219072,1.069811,8.024248
11,11.000000,89.221392,1.144245,8.582549
12,12.000000,88.728866,1.221509,9.162078
13,13.000000,88.721649,1.321415,9.911432
14,14.000000,88.577320,1.358491,10.189522
15,15.000000,87.684278,1.358491,10.189522
16,16.000000,87.567010,1.358491,10.189522
17,17.000000,87.130412,1.265094,9.488992
18,18.000000,86.701031,1.018868,7.642141
19,19.000000,86.701031,0.939340,7.045630
20,20.000000,86.376289,0.905660,6.793014
21,21.000000,85.546392,0.890660,6.680505
22,22.000000,85.546392,0.384906,2.887031
23,23.000000,85.546392,0.384906,2.887031
24,24.000000,85.546392,0.384906,2.887031
25,25.000000,85.546392,0.273113,2.048518
26,26.000000,85.546392,0.086604,0.649582
27,27.000000,85.546392,0.000000,0.000000
28,28.000000,85.993814,0.000000,0.000000
29,29.000000,86.123711,0.000000,0.000000
30,30.000000,86.177835,0.000000,0.000000
31,31.000000,86.268041,NaN,NaN
32,32.000000,86.268041,NaN,NaN
33,33.000000,86.356443,NaN,NaN
34,34.000000,86.848969,NaN,NaN
35,35.000000,86.989691,NaN,NaN
36,36.000000,87.112371,NaN,NaN
37,37.000000,88.037887,NaN,NaN
38,38.000000,89.746392,NaN,NaN
39,39.000000,90.749485,NaN,NaN
40,40.000000,92.546392,NaN,NaN
41,41.000000,93.013660,NaN,NaN
42,42.000000,93.387113,NaN,NaN
43,43.000000,95.467268,NaN,NaN
44,44.000000,97.403093,NaN,NaN
45,45.000000,97.606959,NaN,NaN
46,46.000000,98.673196,NaN,NaN
47,47.000000,100.756959,NaN,NaN
48,48.000000,101.220619,0.000000,0.000000
49,49.000000,103.010309,0.000000,0.000000
50,50.000000,103.389175,0.000000,0.000000
51,51.000000,103.775258,NaN,NaN
52,52.000000,105.095876,NaN,NaN
53,53.000000,105.732732,NaN,NaN
54,54.000000,105.976289,NaN,NaN
55,55.000000,107.872423,NaN,NaN
56,56.000000,109.808247,NaN,NaN
57,57.000000,109.938144,NaN,NaN
58,58.000000,109.938144,NaN,NaN
59,59.000000,111.002577,NaN,NaN
60,60.000000,112.319588,NaN,NaN
61,61.000000,113.257732,NaN,NaN
62,62.000000,113.257732,NaN,NaN
63,63.000000,113.400258,NaN,NaN
64,64.000000,113.979381,NaN,NaN
65,65.000000,114.944588,NaN,NaN
66,66.000000,115.664433,NaN,NaN
67,67.000000,116.144330,NaN,NaN
68,68.000000,116.144330,0.000000,0.000000
69,69.000000,116.755928,0.000000,0.000000
70,70.000000,117.443299,0.000000,0.000000
71,71.000000,117.443299,0.556415,4.173458
72,72.000000,117.688660,1.034717,7.761019
73,73.000000,120.362371,1.041509,7.811966
74,74.000000,122.281959,1.041509,7.811966
75,75.000000,123.983247,1.062736,7.971178
76,76.000000,127.741237,1.561132,11.709458
77,77.000000,131.149227,2.162830,16.222567
78,78.000000,131.731959,2.286792,17.152361
79,79.000000,131.731959,2.286792,17.152361
80,80.000000,131.731959,2.286792,17.152361
81,81.000000,131.349485,2.286792,17.152361
82,82.000000,130.270619,2.809811,21.075327
83,83.000000,128.955412,3.492170,26.193439
84,84.000000,128.369072,3.796981,28.479713
85,85.000000,128.096649,3.962264,29.719438
86,86.000000,127.044845,3.962264,29.719438
87,87.000000,126.969072,3.982358,29.870158
88,88.000000,126.969072,3.751698,28.140062
89,89.000000,126.969072,3.538585,26.541581
90,90.000000,126.969072,3.506604,26.301702
91,91.000000,126.969072,3.486792,26.153105
92,92.000000,126.969072,3.486792,26.153105
93,93.000000,126.969072,3.486792,26.153105
94,94.000000,126.969072,3.486792,26.153105
95,95.000000,126.942010,2.840094,21.302468
96,96.000000,124.342268,2.762264,20.718694
97,97.000000,122.491237,1.946887,14.602858
98,98.000000,122.144845,1.892264,14.193154
99,99.000000,118.872165,1.860283,13.953276
100,100.000000,117.010309,1.737736,13.034096
101,101.000000,115.953093,1.381132,10.359347
102,102.000000,110.071649,1.379434,10.346610
103,103.000000,109.867784,0.964811,7.236683
104,104.000000,106.387629,0.860377,6.453364
105,105.000000,104.210052,0.860377,6.453364
106,106.000000,102.472680,1.096981,8.228039
107,107.000000,98.660567,1.251226,9.384974
108,108.000000,98.312371,1.891698,14.188909
