sample_idx,time_sec,fhr_bpm,ua_kpa,ua_mmhg
0,0.000000,95.360825,NaN,NaN
1,0.414508,95.360825,NaN,NaN
2,0.829016,95.360825,NaN,NaN
3,1.243523,95.360825,NaN,NaN
4,1.658031,95.360825,NaN,NaN
5,2.072539,95.360825,NaN,NaN
6,2.487047,95.072165,NaN,NaN
7,2.901554,94.927835,NaN,NaN
8,3.316062,94.783505,NaN,NaN
9,3.730570,94.639175,1.245283,9.340395
10,4.145078,94.494845,1.245283,9.340395
11,4.559585,93.628866,1.245283,9.340395
12,4.974093,93.484536,1.245283,9.340395
13,5.388601,93.340206,1.245283,9.340395
14,5.803109,93.051546,1.245283,9.340395
15,6.217617,92.762887,1.245283,9.340395
16,6.632124,92.618557,1.245283,9.340395
17,7.046632,91.608247,1.041509,7.811966
18,7.461140,91.463918,1.041509,7.811966
19,7.875648,91.319588,1.041509,7.811966
20,8.290155,91.030928,1.041509,7.811966
21,8.704663,90.886598,1.041509,7.811966
22,9.119171,90.742268,1.041509,7.811966
23,9.533679,90.597938,1.041509,7.811966
24,9.948187,90.309278,1.064151,7.981792
25,10.362694,89.587629,1.109434,8.321443
26,10.777202,89.298969,1.132075,8.491268
27,11.191710,89.154639,1.154717,8.661093
28,11.606218,88.865979,1.200000,9.000744
29,12.020725,88.721649,1.222642,9.170569
30,12.435233,88.721649,1.245283,9.340395
31,12.849741,88.721649,1.313208,9.849871
32,13.264249,88.721649,1.335849,10.019696
33,13.678756,88.577320,1.358491,10.189522
34,14.093264,88.577320,1.358491,10.189522
35,14.507772,88.288660,1.358491,10.189522
36,14.922280,87.711340,1.358491,10.189522
37,15.336788,87.567010,1.358491,10.189522
38,15.751295,87.567010,1.358491,10.189522
39,16.165803,87.567010,1.358491,10.189522
40,16.580311,87.422680,1.358491,10.189522
41,16.994819,87.134021,1.267925,9.510220
42,17.409326,86.845361,1.041509,7.811966
43,17.823834,86.701031,1.018868,7.642141
44,18.238342,86.701031,1.018868,7.642141
45,18.652850,86.701031,0.996226,7.472316
46,19.067358,86.701031,0.928302,6.962840
47,19.481865,86.556701,0.928302,6.962840
48,19.896373,86.556701,0.905660,6.793014
49,20.310881,85.835052,0.905660,6.793014
50,20.725389,85.546392,0.905660,6.793014
51,21.139896,85.546392,0.883019,6.623189
52,21.554404,85.546392,0.543396,4.075809
53,21.968912,85.546392,0.384906,2.887031
54,22.383420,85.546392,0.384906,2.887031
55,22.797927,85.546392,0.384906,2.887031
56,23.212435,85.546392,0.384906,2.887031
57,23.626943,85.546392,0.384906,2.887031
58,24.041451,85.546392,0.384906,2.887031
59,24.455959,85.546392,0.362264,2.717206
60,24.870466,85.546392,0.294340,2.207730
61,25.284974,85.546392,0.226415,1.698254
62,25.699482,85.546392,0.135849,1.018952
63,26.113990,85.546392,0.067925,0.509476
64,26.528497,85.546392,0.000000,0.000000
65,26.943005,85.546392,0.000000,0.000000
66,27.357513,85.546392,0.000000,0.000000
67,27.772021,85.835052,0.000000,0.000000
68,28.186528,86.123711,0.000000,0.000000
69,28.601036,86.123711,0.000000,0.000000
70,29.015544,86.123711,0.000000,0.000000
71,29.430052,86.123711,0.000000,0.000000
72,29.844560,86.123711,0.000000,0.000000
73,30.259067,86.268041,0.000000,0.000000
74,30.673575,86.268041,NaN,NaN
75,31.088083,86.268041,NaN,NaN
76,31.502591,86.268041,NaN,NaN
77,31.917098,86.268041,NaN,NaN
78,32.331606,86.268041,NaN,NaN
79,32.746114,86.268041,NaN,NaN
80,33.160622,86.412371,NaN,NaN
81,33.575130,86.701031,NaN,NaN
82,33.989637,86.845361,NaN,NaN
83,34.404145,86.989691,NaN,NaN
84,34.818653,86.989691,NaN,NaN
85,35.233161,86.989691,NaN,NaN
86,35.647668,86.989691,NaN,NaN
87,36.062176,87.134021,NaN,NaN
88,36.476684,87.278351,NaN,NaN
