sample_idx,time_sec,ua_kpa,ua_mmhg
0,3.730570,1.245283,9.340395
1,4.145078,1.245283,9.340395
2,4.559585,1.245283,9.340395
3,4.974093,1.245283,9.340395
4,5.388601,1.245283,9.340395
5,5.803109,1.245283,9.340395
6,6.217617,1.245283,9.340395
7,6.632124,1.245283,9.340395
8,7.046632,1.041509,7.811966
9,7.461140,1.041509,7.811966
10,7.875648,1.041509,7.811966
11,8.290155,1.041509,7.811966
12,8.704663,1.041509,7.811966
13,9.119171,1.041509,7.811966
14,9.533679,1.041509,7.811966
15,9.948187,1.064151,7.981792
16,10.362694,1.109434,8.321443
17,10.777202,1.132075,8.491268
18,11.191710,1.154717,8.661093
19,11.606218,1.200000,9.000744
20,12.020725,1.222642,9.170569
21,12.435233,1.245283,9.340395
22,12.849741,1.313208,9.849871
23,13.264249,1.335849,10.019696
24,13.678756,1.358491,10.189522
25,14.093264,1.358491,10.189522
26,14.507772,1.358491,10.189522
27,14.922280,1.358491,10.189522
28,15.336788,1.358491,10.189522
29,15.751295,1.358491,10.189522
30,16.165803,1.358491,10.189522
31,16.580311,1.358491,10.189522
32,16.994819,1.267925,9.510220
33,17.409326,1.041509,7.811966
34,17.823834,1.018868,7.642141
35,18.238342,1.018868,7.642141
36,18.652850,0.996226,7.472316
37,19.067358,0.928302,6.962840
38,19.481865,0.928302,6.962840
39,19.896373,0.905660,6.793014
40,20.310881,0.905660,6.793014
41,20.725389,0.905660,6.793014
42,21.139896,0.883019,6.623189
43,21.554404,0.543396,4.075809
44,21.968912,0.384906,2.887031
45,22.383420,0.384906,2.887031
46,22.797927,0.384906,2.887031
47,23.212435,0.384906,2.887031
48,23.626943,0.384906,2.887031
49,24.041451,0.384906,2.887031
50,24.455959,0.362264,2.717206
51,24.870466,0.294340,2.207730
52,25.284974,0.226415,1.698254
53,25.699482,0.135849,1.018952
54,26.113990,0.067925,0.509476
55,26.528497,0.000000,0.000000
56,26.943005,0.000000,0.000000
57,27.357513,0.000000,0.000000
